timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3
47221528979 , 0 , -31.6409 , 315.783 , -31.7303 , 1 , -68.4575 , 286.222 , -11.2771 , 2 , 5.7143 , 286.821 , -9.94908 , 
47221553630 , 0 , -31.3628 , 317.824 , -32.4921 , 1 , -68.3317 , 288.745 , -12.1099 , 2 , 5.94218 , 288.589 , -10.7425 , 
47221590447 , 0 , -30.9122 , 320.987 , -33.4767 , 1 , -67.9123 , 292.244 , -13.3687 , 2 , 6.42173 , 291.761 , -11.9676 , 
47221615112 , 0 , -30.7457 , 324.047 , -34.6092 , 1 , -67.7283 , 294.749 , -14.0152 , 2 , 6.43112 , 293.396 , -12.559 , 
47221652063 , 0 , -30.8329 , 326.883 , -35.2059 , 1 , -67.7415 , 297.977 , -15.1416 , 2 , 6.23887 , 298.159 , -13.7598 , 
47221688844 , 0 , -31.2128 , 330.638 , -36.1588 , 1 , -68.2466 , 301.333 , -16.7338 , 2 , 5.91365 , 300.977 , -14.6488 , 
47221713486 , 0 , -31.626 , 332.945 , -36.1166 , 1 , -68.6281 , 304.249 , -17.4215 , 2 , 5.54564 , 303.153 , -15.3667 , 
47221750459 , 0 , -32.107 , 335.115 , -37.9126 , 1 , -68.9377 , 307.407 , -18.2918 , 2 , 5.0163 , 306.472 , -16.8237 , 
47221774973 , 0 , -32.2537 , 337.559 , -39.0154 , 1 , -69.0185 , 309.54 , -18.8384 , 2 , 4.87007 , 308.892 , -17.6953 , 
47221811813 , 0 , -32.5659 , 340.245 , -40.7131 , 1 , -69.4653 , 312.364 , -20.616 , 2 , 4.46165 , 311.417 , -18.6169 , 
47221836558 , 0 , -32.8747 , 341.922 , -41.4866 , 1 , -69.5993 , 314.127 , -21.374 , 2 , 4.27924 , 313.61 , -20.1303 , 
47221873341 , 0 , -33.3418 , 344.263 , -42.1293 , 1 , -69.9844 , 317.621 , -22.7021 , 2 , 4.05809 , 317.374 , -22.3166 , 
47221897985 , 0 , -33.8387 , 347.285 , -43.0563 , 1 , -70.4842 , 319.732 , -23.8231 , 2 , 3.60673 , 320.177 , -23.2184 , 
47221934814 , 0 , -34.7445 , 350.477 , -44.3292 , 1 , -71.1569 , 323.044 , -24.9611 , 2 , 2.58223 , 322.425 , -24.1878 , 
47221959485 , 0 , -35.2917 , 353.076 , -45.259 , 1 , -71.5957 , 326.011 , -25.6417 , 2 , 2.0539 , 325.678 , -25.2107 , 
47221996337 , 0 , -36.3037 , 356.689 , -46.4047 , 1 , 1.22797 , 330.324 , -27.0895 , 2 , -72.4726 , 330.566 , -26.2907 , 
47222020960 , 0 , -37.1313 , 359.678 , -46.7225 , 1 , 0.387098 , 332.411 , -27.5827 , 2 , -73.0041 , 332.497 , -26.655 , 
