time(ms), id1, x1(mm), y1, z1, id2, x2, y2, z2, id3, x3, y3, z3
28942522.298,0,-65.4224,354.422,0.963825,1,6.72519,361.75,-1.79559,2,-31.9077,379.8,-18.8419
28942546.287,0,-65.5505,355.454,0.710776,1,6.73947,362.904,-1.59019,2,-31.8327,380.311,-18.2988
28942570.301,0,-65.5642,356.113,0.856388,1,6.72302,364.134,-1.20595,2,-31.8165,380.205,-17.8113
28942594.243,0,-65.2416,356.078,1.58837,1,6.61786,363.312,-0.63412,2,-31.7629,381.267,-17.6215
28942618.282,0,-64.9202,355.762,2.54522,1,6.56248,364.554,-0.264147,2,-31.8441,382.288,-17.6038
28942630.269,0,-64.9063,356.073,2.88639,1,6.5353,365.407,-0.225242,2,-31.9488,383.201,-17.7372
28942654.251,0,-64.9565,355.787,3.07356,1,6.34794,366.903,-0.175041,2,-32.1196,384.249,-17.0843
28942690.272,0,-65.7577,358.863,2.51351,1,6.23925,368.914,0.00944719,2,-32.3692,386.213,-16.4966
28942702.289,0,-65.7605,358.217,2.87753,1,6.13692,369.483,-0.0643076,2,-32.6187,387.495,-16.7082
28942726.295,0,-66.4475,359.445,2.28,1,5.73182,370.406,-0.124895,2,-33.1366,388.433,-16.0815
28942750.307,0,-66.8414,359.602,1.96265,1,5.21816,371.314,-0.0403376,2,-33.7278,389.552,-16.2477
28942774.46,0,-67.036,359.519,2.45628,1,4.50295,371.699,0.165801,2,-34.4142,391.428,-16.8667
28942810.312,0,-68.0553,361.655,3.08022,1,3.43838,371.948,-0.305446,2,-35.4271,391.908,-17.0201
28942822.32,0,-68.3122,361.449,3.34148,1,2.97858,371.319,-0.188831,2,-35.7316,392.054,-16.9532
28942846.345,0,-68.9746,362.24,3.45318,1,2.34022,370.693,-0.479108,2,-36.404,392.642,-16.8756
28942870.416,0,-69.6987,363.265,3.4225,1,1.54648,372.877,-0.736523,2,-37.543,396.963,-18.3103
28942894.4,0,-70.0986,363.808,3.91243,1,0.737183,373.325,-0.555213,2,-38.2116,397.34,-18.7896
28942906.379,0,-70.4179,365.038,4.04889,1,0.446754,373.867,-0.90105,2,-38.5877,397.872,-18.6601
28942930.401,0,-70.7802,365.603,4.15328,1,-0.22754,374.203,-0.352108,2,-39.1677,398.07,-18.3498
28942966.205,0,-71.135,366.611,4.37236,1,-0.920264,375.001,-0.0435468,2,-39.6273,398.849,-17.108
28942978.467,0,-71.1406,368.219,4.88594,1,-1.11147,376.181,0.0540066,2,-39.7806,399.287,-16.43
28943002.395,0,-71.4232,369.859,4.62294,1,-1.35688,378.597,-0.297269,2,-39.9381,399.118,-15.8941
28943026.418,0,-71.5694,370.677,4.39317,1,-1.41728,381.573,-0.781834,2,-39.9985,399.31,-15.196
28943038.586,0,-71.6002,371.129,4.51685,1,-1.42598,380.035,-0.608616,2,-40.007,399.559,-15.063
28943062.441,0,-71.4186,373.123,5.44561,1,-1.43091,380.623,-0.0453812,2,-40.017,402.002,-15.2817
28943086.43,0,-71.0271,373.65,6.34198,1,-1.4264,380.585,0.571351,2,-40.0011,403.174,-14.7626
28943110.382,0,-71.1171,375.126,6.6155,1,-1.67389,380.516,1.64716,2,-39.9209,403.96,-14.9509
28943122.524,0,-71.1362,375.862,6.89605,1,-1.77287,381.664,1.96795,2,-39.9579,404.783,-14.6871
28943146.386,0,-71.1147,376.934,7.08602,1,-1.68468,383.889,1.64326,2,-39.8996,405.349,-14.5801
28943170.441,0,-71.1592,378.614,7.47534,1,-1.65322,385.904,1.91465,2,-39.9257,405.811,-13.9419
28943194.409,0,-71.1505,378.795,7.31781,1,-1.64562,388.386,1.49102,2,-39.9961,406.755,-13.6846
28943206.468,0,-71.2382,379.651,7.53634,1,-1.48455,388.489,0.865169,2,-40.1891,408.507,-13.9737
28943230.493,0,-71.2858,380.213,7.739,1,-1.77461,387.547,2.04321,2,-40.179,408.048,-13.3298
28943242.396,0,-71.2712,380.714,7.82181,1,-1.75195,387.503,2.19972,2,-40.1814,409.106,-12.8754
28943255.127,0,-71.1671,380.693,7.84105,1,-1.75963,387.13,2.33425,2,-40.161,409.333,-12.234
28943290.393,0,-70.938,380.903,8.0556,1,-1.77777,388.327,3.18269,2,-40.0236,409.976,-11.5243
28943314.332,0,-70.9976,382.635,8.21993,1,-1.85395,388.072,4.25438,2,-39.8501,409.568,-10.9411
28943342.617,0,-71.0493,384.294,8.36261,1,-1.39552,389.498,3.46358,2,-39.5847,409.539,-9.80007
28943350.398,0,-71.0357,384.832,8.19813,1,-1.23964,389.041,3.45397,2,-39.4998,410.446,-9.81544
28943374.408,0,-71.0682,386.745,8.61297,1,-1.08184,389.742,4.00049,2,-39.2925,411.592,-9.75351
28943398.401,0,-70.8647,386.669,8.29945,1,-1.09417,390.782,4.76948,2,-39.0166,411.476,-8.83155
28943434.544,0,-70.6597,387.696,8.95174,1,-1.25642,392.944,5.39705,2,-38.9141,412.947,-7.76639
28943446.587,0,-70.5221,387.601,9.40638,1,-1.40215,392.319,5.67823,2,-38.7794,411.599,-7.87884
28943470.495,0,-70.818,388.826,9.38365,1,-1.79737,393.6,6.31208,2,-38.8852,412.177,-7.43152
28943494.579,0,-70.8069,388.605,9.287,1,-2.03213,393.2,6.92515,2,-39.076,414.037,-6.87337
28944682.858,0,-86.0391,401.286,40.2906,1,-17.1923,410.14,37.3292,2,-51.5303,434.199,23.1731
28944718.865,0,-90.1748,401.016,48.6215,1,-21.0386,405.673,42.3103,2,-55.0704,429.417,34.7658
28944838.88,0,-62.4612,400.088,108.416,1,-98.4307,377.617,105.07,2,-27.1003,373.705,85.891
28944862.921,0,-61.2757,393.046,120.932,1,-96.7836,367.062,119.179,2,-26.0659,358.195,113.291
28944886.849,0,-23.7682,344.807,133.841,1,-95.6224,358.606,131.118,2,-59.9066,387.584,129.98
28944911.086,0,-91.8099,339.436,155.597,1,-17.9709,328.825,153.364,2,-55.9852,374.126,149.466
28944922.899,0,-89.4829,328.206,167.624,1,-14.4539,319.477,161.746,2,-53.5467,366.067,160.869
28944958.925,0,-83.0927,296.907,193.545,1,-47.8816,339.128,188.86,2,-4.35332,292.77,185.094
28944970.905,0,-77.8495,284.093,201.854,1,-43.1188,324.181,199.513,2,0.842656,282.979,192.251
