AccTime, AccX, AccY, AccZ, GravityTime, GravityX, GravityY, GravityZ
760.650634, 0.015268249437212944, -0.14714401960372925, 0.006436614785343409, 760.650634, 0.36688706278800964, 6.37359619140625, 7.448211193084717
760.681151, 0.0025447083171457052, -0.24294479191303253, -0.12439132481813431, 760.650634, 0.36733612418174744, 6.386020183563232, 7.4375834465026855
784.210205, -0.05957610905170441, -0.05748046934604645, -0.12753479182720184, 760.681151, 0.36718642711639404, 6.406228065490723, 7.420219421386719
784.240722, -0.14190490543842316, 0.05343887209892273, -0.110021211206913, 784.240722, 0.37018021941185, 6.411766529083252, 7.415279865264893
801.116944, -0.06421646475791931, -0.002395019633695483, -0.15283218026161194, 784.27124, 0.3896397352218628, 6.411766529083252, 7.41423225402832
814.39209, 0.04685257002711296, 0.006436614785343409, -0.07574249058961868, 801.147461, 0.41224274039268494, 6.404881000518799, 7.419022083282471
838.958739, 0.2535727024078369, 0.07604186981916428, 0.046702880412340164, 814.422608, 0.42152345180511475, 6.400390148162842, 7.4223151206970215
888.122559, 0.12124786525964737, 0.10627899318933487, 0.07304809242486954, 839.172362, 0.42092469334602356, 6.403533935546875, 7.419620990753174
888.519288, 0.2897973656654358, 0.29937744140625, -0.016166381537914276, 888.183594, 0.4254153370857239, 6.425388336181641, 7.400610446929932
916.931152, 0.0697549432516098, 0.5295987129211426, -0.2656974792480469, 896.820069, 0.43125319480895996, 6.451434135437012, 7.377408504486084
929.718017, 0.06032455340027809, 0.5530998110771179, -0.32662078738212585, 916.961669, 0.4327501058578491, 6.459667205810547, 7.370223522186279
933.380126, 0.023800507187843323, 0.5116360187530518, -0.3442840576171875, 929.748535, 0.4328997731208801, 6.466103553771973, 7.364535331726074
966.888428, 0.10044112801551819, 0.5604345798492432, -0.09729766845703125, 933.410644, 0.4287084937095642, 6.473587989807129, 7.358098983764648
967.468262, 0.0946032702922821, 0.6246510148048401, 0.022602997720241547, 967.041016, 0.4246669113636017, 6.47688102722168, 7.355554103851318
996.276855, 0.12064910680055618, 0.7110214233398438, 0.11555968970060349, 967.529297, 0.4085005223751068, 6.494095325469971, 7.341184139251709
