timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3, edge1, edge2, edge3
39425211716 , 0 , 87.5691 , 245.378 , 143.741 , 1 , 48.2799 , 213.801 , 151.484 , 2 , 121.913 , 205.116 , 159.231 , 50.9968 , 55.1405 , 74.5468 , 
39425235702 , 0 , 86.7216 , 245.769 , 143.543 , 1 , 47.3638 , 214.236 , 151.948 , 2 , 121.234 , 205.378 , 159.193 , 51.1273 , 55.3843 , 74.7512 , 
39425259615 , 0 , 85.6071 , 245.791 , 143.793 , 1 , 46.2825 , 214.405 , 152.456 , 2 , 120.567 , 206.118 , 159.422 , 51.0544 , 55.1399 , 75.0688 , 
39425271597 , 0 , 85.0449 , 245.891 , 144.002 , 1 , 45.6843 , 214.493 , 152.658 , 2 , 119.82 , 205.932 , 159.21 , 51.0882 , 55.1124 , 74.9159 , 
39425295650 , 0 , 83.7704 , 245.937 , 144.635 , 1 , 44.4296 , 214.528 , 152.697 , 2 , 118.852 , 205.936 , 158.861 , 50.9829 , 55.0743 , 75.1698 , 
39425319548 , 0 , 82.5351 , 246.015 , 145.126 , 1 , 43.2489 , 214.719 , 152.786 , 2 , 117.653 , 206.271 , 159.161 , 50.8085 , 54.8618 , 75.1527 , 
39425343624 , 0 , 81.4155 , 246.205 , 145.469 , 1 , 42.1304 , 214.838 , 153.001 , 2 , 116.514 , 206.292 , 159.071 , 50.8324 , 54.8631 , 75.1187 , 
39425367681 , 0 , 80.4091 , 246.446 , 145.085 , 1 , 41.0039 , 215.061 , 153.046 , 2 , 115.202 , 206.476 , 159.428 , 51.0016 , 54.8989 , 74.9656 , 
39425391605 , 0 , 79.4941 , 247.028 , 145.65 , 1 , 40.0216 , 215.46 , 153.274 , 2 , 114.252 , 207.242 , 160.049 , 51.1149 , 54.7568 , 74.9908 , 
39425403669 , 0 , 78.9549 , 247.384 , 145.637 , 1 , 39.4983 , 215.845 , 153.683 , 2 , 113.703 , 207.834 , 160.509 , 51.1495 , 54.7061 , 74.9468 , 
39425427655 , 0 , 77.8281 , 248.251 , 146.298 , 1 , 38.3361 , 216.508 , 153.93 , 2 , 112.778 , 209.116 , 161.288 , 51.2398 , 54.5687 , 75.1692 , 
39425451594 , 0 , 76.6897 , 249.096 , 146.252 , 1 , 37.1361 , 216.945 , 154.268 , 2 , 111.551 , 209.723 , 161.391 , 51.5989 , 54.7239 , 75.1028 , 
39425476038 , 0 , 75.517 , 249.859 , 146.811 , 1 , 35.7937 , 217.314 , 154.163 , 2 , 110.224 , 210.082 , 161.28 , 51.8766 , 54.7376 , 75.1192 , 
39425499651 , 0 , 74.2431 , 250.472 , 146.71 , 1 , 34.3688 , 217.561 , 153.798 , 2 , 109.028 , 210.751 , 161.464 , 52.1859 , 54.8215 , 75.3599 , 
39425524096 , 0 , 72.7066 , 251.096 , 147.154 , 1 , 33.0059 , 218.024 , 154.472 , 2 , 107.533 , 210.849 , 160.942 , 52.1865 , 54.9799 , 75.1506 , 
39425547805 , 0 , 71.3393 , 251.923 , 145.946 , 1 , 31.4194 , 218.327 , 154.758 , 2 , 106.023 , 211.387 , 161.141 , 52.9143 , 55.4708 , 75.1967 , 
39425571712 , 0 , 69.6209 , 252.055 , 146.008 , 1 , 29.7247 , 218.436 , 154.667 , 2 , 104.718 , 211.808 , 160.707 , 52.8862 , 55.3873 , 75.5279 , 
39425595759 , 0 , 67.8306 , 252.214 , 146.004 , 1 , 27.9927 , 218.455 , 154.578 , 2 , 103.098 , 212.077 , 160.671 , 52.9175 , 55.4066 , 75.6215 , 
39425619794 , 0 , 66.1448 , 252.576 , 145.376 , 1 , 26.2535 , 218.489 , 154.669 , 2 , 101.174 , 211.968 , 160.408 , 53.2881 , 55.6963 , 75.4226 , 
39425643733 , 0 , 64.345 , 252.564 , 144.683 , 1 , 24.1931 , 218.629 , 153.788 , 2 , 99.12 , 211.717 , 159.978 , 53.3538 , 55.7822 , 75.4992 , 
39425655718 , 0 , 63.2859 , 252.277 , 145.129 , 1 , 23.3606 , 218.66 , 153.905 , 2 , 98.4727 , 211.771 , 159.532 , 52.926 , 55.5541 , 75.6369 , 
39425679797 , 0 , 61.4482 , 252.218 , 144.448 , 1 , 21.8029 , 218.956 , 154.554 , 2 , 96.8735 , 211.92 , 159.032 , 52.7276 , 55.6018 , 75.5325 , 
39425703710 , 0 , 59.4906 , 251.985 , 145.038 , 1 , 20.0896 , 218.828 , 154.679 , 2 , 95.3325 , 212.066 , 158.569 , 52.3904 , 55.3286 , 75.6463 , 
39425727750 , 0 , 57.5795 , 251.622 , 144.981 , 1 , 18.2677 , 218.385 , 154.248 , 2 , 93.8085 , 212.311 , 158.354 , 52.3064 , 55.1064 , 75.8957 , 
39425751864 , 0 , 55.5145 , 250.877 , 145.138 , 1 , 16.4479 , 218.164 , 153.967 , 2 , 91.8661 , 211.738 , 157.722 , 51.7136 , 54.8787 , 75.7846 , 
39425775906 , 0 , 53.5683 , 250.3 , 144.983 , 1 , 14.6183 , 217.863 , 153.617 , 2 , 90.0224 , 211.551 , 157.382 , 51.4181 , 54.6274 , 75.7615 , 
39425787719 , 0 , 52.7258 , 250.096 , 144.905 , 1 , 13.8471 , 217.558 , 153.472 , 2 , 89.0863 , 211.404 , 157.304 , 51.4166 , 54.5244 , 75.5876 , 
39425811858 , 0 , 51.1976 , 249.407 , 143.531 , 1 , 12.4635 , 217.22 , 153.332 , 2 , 87.438 , 210.935 , 156.892 , 51.3067 , 54.5156 , 75.3217 , 
39425823708 , 0 , 50.4658 , 249.163 , 143.586 , 1 , 11.7882 , 217.088 , 153.205 , 2 , 86.6964 , 210.968 , 157.017 , 51.1595 , 54.3313 , 75.2544 , 
39425847716 , 0 , 48.9937 , 248.613 , 143.474 , 1 , 10.373 , 216.898 , 152.7 , 2 , 85.3633 , 210.684 , 156.475 , 50.8184 , 54.1324 , 75.3419 , 
39425859708 , 0 , 48.3737 , 248.663 , 143.362 , 1 , 9.72995 , 216.703 , 152.413 , 2 , 84.7842 , 210.703 , 156.343 , 50.9579 , 54.1769 , 75.3961 , 
39425883716 , 0 , 47.2881 , 248.468 , 141.539 , 1 , 8.83533 , 216.7 , 152.676 , 2 , 83.5219 , 210.591 , 156.059 , 51.1063 , 54.391 , 75.0123 , 
