time since 1970(s), ms
1401178645, 492
timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3, edge1, edge2, edge3
27357144677 , 0 , 0.170503 , 179.343 , 27.259 , 1 , -57.8934 , 131.933 , 58.626 , 2 , 58.2707 , 133.346 , 69.5069 , 81.2586 , 85.301 , 116.681 , 
27357180664 , 0 , 0.0631896 , 180.759 , 26.8465 , 1 , -57.6608 , 133.617 , 58.1842 , 2 , 58.3757 , 134.961 , 68.896 , 80.8484 , 85.2405 , 116.538 , 
27357204615 , 0 , -0.084133 , 181.643 , 26.556 , 1 , -57.6753 , 134.448 , 57.6443 , 2 , 58.2035 , 136.463 , 68.6016 , 80.6883 , 84.8914 , 116.413 , 
27357228709 , 0 , -0.336461 , 182.508 , 25.609 , 1 , -57.6712 , 135.597 , 57.3655 , 2 , 58.1987 , 137.252 , 67.7697 , 80.6005 , 85.1586 , 116.348 , 
27357264814 , 0 , -0.688808 , 183.564 , 24.2186 , 1 , -58.2619 , 136.384 , 55.9286 , 2 , 57.9783 , 138.619 , 66.7469 , 80.9084 , 85.2678 , 116.764 , 
27357276686 , 0 , -0.806476 , 183.888 , 23.7469 , 1 , -58.4429 , 136.819 , 55.5819 , 2 , 57.7922 , 139.247 , 66.4933 , 80.9379 , 85.17 , 116.771 , 
27357300660 , 0 , -0.944806 , 184.604 , 22.4618 , 1 , -58.8155 , 137.413 , 54.8132 , 2 , 57.7324 , 140.064 , 65.8384 , 81.3792 , 85.4889 , 117.098 , 
27357336818 , 0 , -1.22448 , 185.725 , 22.0702 , 1 , -58.95 , 138.551 , 54.0923 , 2 , 57.6017 , 140.754 , 64.8841 , 81.1359 , 85.5332 , 117.071 , 
27357348828 , 0 , -1.42073 , 186.167 , 22.4321 , 1 , -59.108 , 138.884 , 53.814 , 2 , 57.4264 , 141.013 , 64.652 , 80.9216 , 85.3486 , 117.057 , 
27357372776 , 0 , -1.78146 , 187.158 , 22.5825 , 1 , -59.3904 , 139.869 , 53.4884 , 2 , 57.1971 , 141.99 , 64.2333 , 80.6862 , 85.1672 , 117.101 , 
27357408749 , 0 , -2.1395 , 188.652 , 22.2704 , 1 , -59.6353 , 141.402 , 53.0964 , 2 , 56.9717 , 143.822 , 63.8393 , 80.552 , 85.0401 , 117.126 , 
27357420763 , 0 , -2.29258 , 189.33 , 22.4718 , 1 , -59.8138 , 141.942 , 52.9661 , 2 , 56.786 , 144.544 , 63.8986 , 80.5249 , 84.9249 , 117.14 , 
27357444839 , 0 , -2.49693 , 190.418 , 22.2866 , 1 , -60.0011 , 143.094 , 52.9769 , 2 , 56.5896 , 145.961 , 63.8506 , 80.5494 , 84.8247 , 117.132 , 
27357468869 , 0 , -2.66422 , 191.405 , 22.2171 , 1 , -60.1394 , 144.201 , 53.0079 , 2 , 56.4064 , 146.299 , 63.5086 , 80.4966 , 85.0226 , 117.037 , 
27357480742 , 0 , -2.77426 , 191.942 , 22.4165 , 1 , -60.2022 , 144.756 , 53.053 , 2 , 56.2695 , 146.664 , 63.4377 , 80.3931 , 84.9646 , 116.949 , 
27357504778 , 0 , -3.01722 , 193.095 , 22.7481 , 1 , -60.3596 , 145.736 , 53.0494 , 2 , 56.0685 , 147.918 , 63.5721 , 80.3068 , 84.8451 , 116.923 , 
27357528826 , 0 , -3.18675 , 194.24 , 22.5069 , 1 , -60.5719 , 146.656 , 52.9425 , 2 , 55.8923 , 149.24 , 63.6639 , 80.5206 , 84.9068 , 116.985 , 
27357552883 , 0 , -3.35498 , 195.412 , 22.3929 , 1 , -60.7071 , 147.733 , 53.0406 , 2 , 55.6148 , 150.432 , 63.8644 , 80.634 , 84.974 , 116.856 , 
27357564770 , 0 , -3.43236 , 195.855 , 21.9743 , 1 , -60.804 , 148.275 , 53.0884 , 2 , 55.4182 , 150.716 , 63.8463 , 80.7677 , 85.1715 , 116.745 , 
27357588706 , 0 , -3.7482 , 196.716 , 22.383 , 1 , -61.1367 , 148.972 , 52.9516 , 2 , 55.2604 , 151.453 , 63.7129 , 80.6682 , 85.0821 , 116.92 , 
27357612805 , 0 , -4.07897 , 197.391 , 22.5018 , 1 , -61.5252 , 149.66 , 52.9536 , 2 , 54.958 , 152.346 , 63.8768 , 80.6575 , 85.0074 , 117.025 , 
27357624868 , 0 , -4.2207 , 197.639 , 22.2555 , 1 , -61.7585 , 149.764 , 52.8209 , 2 , 54.8634 , 152.6 , 63.8266 , 80.8512 , 85.1328 , 117.174 , 
27357661999 , 0 , -4.73663 , 198.151 , 22.8253 , 1 , -61.9892 , 150.527 , 53.092 , 2 , 54.4784 , 153.533 , 63.9739 , 80.3868 , 84.7962 , 117.014 , 
27357684778 , 0 , -4.94278 , 198.212 , 22.5312 , 1 , -62.1249 , 150.918 , 53.1634 , 2 , 54.1375 , 154.227 , 64.0243 , 80.2797 , 84.5389 , 116.816 , 
27357708800 , 0 , -5.15797 , 198.224 , 22.3755 , 1 , -62.3212 , 150.943 , 53.2689 , 2 , 53.7155 , 154.798 , 64.2037 , 80.3591 , 84.2707 , 116.614 , 
