time(ms), x(mm), y, z, ax(m/s2), ay, az
28886552.188,-0.45879090774,227.13415496,108.95646891,0.21005870736,-3.9387121686,-0.55680798593
28886552.688,-0.46388966906,227.10900335,108.93122982,0.23398091981,-3.9371270001,-0.55175998521
28886553.188,-0.46883039367,227.0830048,108.90648848,0.25790292518,-3.9355456963,-0.54667318927
28886553.688,-0.4736072856,227.05616107,108.88224539,0.28178607636,-3.9339116354,-0.54152856217
28886554.188,-0.47821454886,227.02847394,108.85850105,0.29549795068,-3.9174481092,-0.5313761149
28886554.688,-0.4826463988,226.9999452,108.83525597,0.28547049205,-3.866365136,-0.50960618374
28886555.188,-0.48690002361,226.97057993,108.81250936,0.27206060556,-3.8103473353,-0.48617804863
28886555.688,-0.49097954958,226.94039098,108.79025744,0.25864851403,-3.7543236974,-0.46274518232
28886556.188,-0.49489009103,226.90939228,108.76849603,0.24523410517,-3.6982935662,-0.43930966473
28886556.688,-0.49863676226,226.87759777,108.7472209,0.23181727219,-3.6422562974,-0.41587354727
28886557.188,-0.50222467756,226.84502137,108.72642788,0.21839791394,-3.5862112572,-0.39243885184
28886557.688,-0.50565895124,226.81167704,108.70611275,0.20497593464,-3.5301578244,-0.36900757243
28886558.188,-0.50894469761,226.77757869,108.68627131,0.191551244,-3.4740953896,-0.34558167425
28886558.688,-0.51208703096,226.74274027,108.66689938,0.17812375739,-3.4180233538,-0.32216309352
28886559.188,-0.51509106559,226.70717572,108.64799273,0.16469339555,-3.3619411312,-0.29875373828
28886559.688,-0.51796191582,226.67089896,108.62954719,0.15126008477,-3.305848147,-0.27535548794
28886560.188,-0.52070469593,226.63392394,108.61155854,0.13782375685,-3.2497438387,-0.25197019346
28886560.688,-0.52332452024,226.59626458,108.59402259,0.12438434916,-3.1936276551,-0.22859967692
28886561.188,-0.52582650304,226.55793483,108.57693513,0.11094180451,-3.1374990573,-0.20524573246
28886561.688,-0.52821575865,226.51894861,108.56029197,0.097496071237,-3.0813575186,-0.18191012548
28886562.188,-0.53049740135,226.47931987,108.54408891,0.084047103208,-3.0252025238,-0.15859459312
28886562.688,-0.53267654545,226.43906254,108.52832174,0.070594859871,-2.9690335698,-0.13530084338
28886563.188,-0.53475830526,226.39819056,108.51298627,0.057139306056,-2.9128501658,-0.11203055696
28886563.688,-0.53674779508,226.35671785,108.4980783,0.043680412266,-2.8566518326,-0.088785384987
28886564.188,-0.53865012921,226.31465836,108.48359362,0.030218154411,-2.8004381037,-0.065566950993
28886564.688,-0.54047042195,226.27202602,108.46952804,0.016752514049,-2.7442085237,-0.042376849044
28886565.188,-0.5422137876,226.22883477,108.45587735,0.0032834781175,-2.6879626505,-0.019216645955
28886565.688,-0.54388534047,226.18509853,108.44263736,-0.010188960764,-2.631700053,0.0039121212372
28886566.188,-0.54549019486,226.14083125,108.42980387,-0.02366480456,-2.575420313,0.027007943111
28886566.688,-0.54703346506,226.09604687,108.41737267,-0.037144049582,-2.5191230237,0.050069339487
28886567.188,-0.5485202654,226.05075931,108.40533957,-0.050626686748,-2.4628077912,0.073094858173
28886567.688,-0.54995571015,226.00498251,108.39370037,-0.064112701288,-2.4064742327,0.096083076195
28886568.188,-0.55134491364,225.95873042,108.38245086,-0.077602072997,-2.3501219786,0.11903259885
28886568.688,-0.55269299015,225.91201695,108.37158685,-0.09109477607,-2.2937506706,0.14194206041
28886569.188,-0.554005054,225.86485605,108.36110414,-0.10459077917,-2.2373599627,0.16481012375
28886569.688,-0.55528621948,225.81726166,108.35099852,-0.1180900454,-2.1809495209,0.18763548076
28886570.188,-0.5565416009,225.7692477,108.3412658,-0.13159253237,-2.1245190237,0.21041685176
28886570.688,-0.55777631256,225.72082812,108.33190177,-0.145098192,-2.0680681608,0.23315298672
28886571.188,-0.55899546876,225.67201685,108.32290224,-0.15860697085,-2.0115966348,0.25584266367
28886571.688,-0.5602041838,225.62282782,108.31426301,-0.1721188098,-1.95510416,0.27848469019
28886572.188,-0.56140757199,225.57327497,108.30597988,-0.18563364411,-1.8985904619,0.30107790343
28886572.688,-0.56261074763,225.52337223,108.29804864,-0.19915140369,-1.8420552793,0.3236211683
28886573.188,-0.56381882502,225.47313355,108.29046509,-0.2126720127,-1.7854983621,0.34611338031
28886573.688,-0.56503691846,225.42257285,108.28322505,-0.22619538981,-1.728919472,0.36855346354
28886574.188,-0.56627014226,225.37170408,108.2763243,-0.23972144818,-1.6723183832,0.39094037152
28886574.688,-0.56752361071,225.32054116,108.26975864,-0.25325009532,-1.6156948811,0.41327308718
28886575.188,-0.56880243813,225.26909803,108.26352389,-0.26678123322,-1.5590487633,0.43555062314
28886575.688,-0.5701117388,225.21738862,108.25761583,-0.28031475836,-1.5023798393,0.45777202105
28886576.188,-0.57145662704,225.16542688,108.25203026,-0.29385056151,-1.4456879294,0.47993635318
28886576.688,-0.57284221715,225.11322674,108.246763,-0.30738852809,-1.388972867,0.50204272017
28886577.188,-0.57427362343,225.06080213,108.24180982,-0.32092853778,-1.3322344961,0.52409025359
28886577.688,-0.57575596018,225.00816699,108.23716655,-0.33443491301,-1.2748657129,0.54611230367
28886578.188,-0.5772943417,224.95533525,108.23282897,-0.3436415181,-1.1440293716,0.57216809365
28886578.688,-0.57889388902,224.90232098,108.22879281,-0.34449626778,-0.87052339497,0.60594788832
28886579.188,-0.58056053698,224.84915357,108.22504356,-0.3443937798,-0.58059469825,0.64030847496
28886579.688,-0.58230180093,224.79589221,108.22154689,-0.34429361571,-0.29063213622,0.67433331144
28886580.188,-0.58412537783,224.74259951,108.21826619,-0.34419549662,-0.00063634245519,0.70802053863
28886580.688,-0.58603896462,224.68933807,108.21516485,-0.34409915501,0.28939195604,0.7413692405
28886581.188,-0.58805025828,224.63617051,108.21220626,-0.34400433491,0.5794519392,0.77437944492
28886581.688,-0.59016695574,224.58315944,108.20935381,-0.34391079189,0.86954269636,0.80705212388
28886582.188,-0.59239675396,224.53036746,108.20657089,-0.34381829299,1.1596632277,0.83938919484
28886582.688,-0.59474734989,224.47785717,108.20382088,-0.34372661687,1.4498124458,0.87139352108
28886583.188,-0.59722644049,224.4256912,108.20106717,-0.3436355536,1.7399891779,0.90306891313
28886583.688,-0.59984172271,224.37393214,108.19827316,-0.34354490489,2.0301921665,0.93442012877
28886584.188,-0.6026008935,224.32264261,108.19540222,-0.34345448387,2.3204200726,0.96545287422
